iter	RMSE
0	22685.15134
1	21602.38247
2	20615.29411
3	19712.54222
4	18874.09971
5	18113.38134
6	17449.81013
7	16799.59212
8	16226.95608
9	15665.24096
10	15152.2474
11	14683.27849
12	14238.60868
13	13831.1409
14	13485.52111
15	13153.70562
16	12856.53361
17	12582.42501
18	12307.99328
19	12024.12284
20	11751.61749
21	11536.57066
22	11354.77573
23	11177.93627
24	11015.68389
25	10817.813
26	10679.159
27	10532.39237
28	10388.95914
29	10281.12055
30	10183.33224
31	10089.47304
32	9957.986901
33	9881.488306
34	9798.930987
35	9699.966643
36	9617.764541
37	9533.83401
38	9463.487658
39	9403.298742
40	9333.064024
41	9253.930259
42	9193.616815
43	9137.850332
44	9073.335853
45	9017.28813
46	8976.904545
47	8926.482984
48	8893.01863
49	8851.862753
50	8797.537841
51	8732.565675
52	8691.945245
53	8664.573553
54	8634.685185
55	8582.443391
56	8556.781552
57	8507.493144
58	8464.565875
59	8441.424759
60	8419.651146
61	8387.473927
62	8361.208339
63	8320.34526
64	8292.379348
65	8260.7681
66	8235.919743
67	8209.77371
68	8190.442591
69	8168.333244
70	8150.055733
71	8133.928888
72	8110.593798
73	8077.544568
74	8049.401813
75	8040.499662
76	8028.080133
77	8013.385639
78	7973.837348
79	7960.577878
80	7940.038161
81	7922.186671
82	7900.74914
83	7889.698435
84	7865.576606
85	7845.680728
86	7830.812666
87	7814.057568
88	7789.23314
89	7773.404596
90	7767.879203
91	7756.504351
92	7745.511847
93	7734.241791
94	7722.316893
95	7685.511933
96	7675.183252
97	7664.81974
98	7653.833876
99	7628.436968
100	7624.828335
101	7613.358312
102	7592.446236
103	7582.154648
104	7572.318343
105	7557.741136
106	7551.656374
107	7538.74387
108	7527.704885
109	7515.999492
110	7503.425874
111	7493.52818
112	7482.794577
113	7468.400296
114	7454.525994
115	7441.136126
116	7424.725527
117	7415.616153
118	7410.902683
119	7400.21129
120	7393.66578
121	7381.979013
122	7373.94637
123	7362.414199
124	7358.558428
125	7344.511619
126	7334.927344
127	7325.45584
128	7321.043193
129	7314.185573
130	7308.738103
131	7298.388942
132	7289.801204
133	7274.921894
134	7259.570984
135	7236.353506
136	7225.629688
137	7215.992966
138	7207.782032
139	7200.080814
140	7186.593811
141	7164.202396
142	7154.250184
143	7147.802654
144	7133.232928
145	7120.179997
146	7108.986369
147	7102.997674
148	7090.202753
149	7081.154121
150	7073.755864
151	7058.453879
152	7043.557771
153	7033.770021
154	7011.401348
155	7006.067294
156	6993.402915
157	6984.992939
158	6974.035242
159	6964.316025
160	6957.56893
161	6952.053367
162	6942.855183
163	6933.058128
164	6921.491823
165	6908.743417
166	6897.449681
167	6889.06453
168	6882.874985
169	6875.9168
170	6864.261276
171	6846.256105
172	6837.797085
173	6823.30383
174	6814.977154
175	6802.039097
176	6794.971887
177	6784.102896
178	6777.956151
179	6773.335736
180	6766.119105
181	6756.6196
182	6748.709851
183	6739.793855
184	6723.11792
185	6712.490587
186	6705.837184
187	6698.530599
188	6691.460916
189	6683.389142
190	6677.232485
191	6666.321328
