iter	Passed	Remaining
0	146	146024
1	151	75542
2	156	52081
3	162	40370
4	167	33301
5	172	28631
6	178	25330
7	184	22843
8	190	20974
9	196	19433
10	202	18187
11	207	17090
12	212	16159
13	218	15406
14	223	14709
15	229	14111
16	234	13586
17	240	13126
18	245	12700
19	251	12339
20	257	12027
21	264	11752
22	269	11457
23	275	11206
24	281	10967
25	286	10740
26	291	10512
27	297	10319
28	302	10131
29	307	9954
30	312	9780
31	317	9617
32	323	9480
33	329	9353
34	335	9239
35	340	9127
36	346	9010
37	351	8910
38	357	8808
39	363	8716
40	368	8620
41	373	8523
42	378	8431
43	384	8349
44	389	8263
45	394	8181
46	399	8109
47	405	8037
48	410	7962
49	414	7883
50	420	7816
51	425	7750
52	430	7689
53	434	7620
54	439	7555
55	444	7500
56	449	7439
57	454	7384
58	459	7327
59	463	7267
60	469	7223
61	474	7174
62	478	7119
63	483	7077
64	489	7036
65	494	6993
66	498	6947
67	503	6907
68	508	6862
69	513	6823
70	519	6790
71	524	6754
72	529	6718
73	534	6687
74	539	6654
75	544	6617
76	548	6578
77	553	6543
78	559	6519
79	563	6483
80	568	6450
81	573	6419
82	578	6392
83	583	6363
84	588	6334
85	593	6310
86	598	6283
87	603	6256
88	608	6229
89	613	6201
90	618	6174
91	622	6147
92	627	6120
93	632	6097
94	637	6070
95	642	6048
96	647	6028
97	652	6002
98	656	5978
99	662	5958
100	666	5933
101	671	5910
102	676	5890
103	681	5868
104	686	5847
105	690	5826
106	696	5809
107	700	5789
108	705	5767
109	710	5749
110	715	5731
111	720	5712
112	726	5701
113	731	5683
114	735	5663
115	741	5647
116	745	5629
117	750	5609
118	755	5591
119	760	5575
120	765	5558
121	769	5540
122	774	5524
123	779	5506
124	784	5489
125	789	5474
126	794	5458
127	799	5446
128	804	5430
129	809	5416
130	814	5401
131	818	5385
132	823	5370
133	828	5355
134	833	5342
135	838	5328
136	843	5313
137	848	5297
138	852	5282
139	857	5269
140	862	5254
141	867	5241
142	872	5230
143	877	5216
144	882	5203
145	887	5189
146	892	5178
147	897	5164
148	901	5151
149	906	5139
150	911	5125
151	916	5113
152	921	5103
153	926	5089
154	931	5078
155	936	5065
156	940	5052
157	945	5039
158	950	5028
159	955	5018
160	960	5005
161	965	4994
162	970	4982
163	975	4970
164	980	4959
165	984	4947
166	989	4935
167	994	4923
168	998	4911
169	1003	4900
170	1008	4889
171	1013	4879
172	1018	4869
173	1023	4859
174	1028	4848
175	1033	4838
176	1038	4827
177	1043	4817
178	1047	4806
179	1052	4795
180	1057	4785
181	1062	4774
182	1067	4763
183	1072	4754
184	1076	4744
185	1081	4733
186	1086	4723
187	1091	4714
188	1096	4703
189	1102	4698
190	1107	4689
191	1112	4680
192	1117	4671
193	1121	4661
194	1126	4650
195	1131	4643
196	1136	4634
197	1141	4625
198	1146	4616
199	1151	4606
200	1156	4597
201	1161	4589
202	1166	4580
203	1171	4569
204	1175	4560
205	1180	4551
206	1185	4542
207	1190	4534
208	1195	4525
209	1200	4516
210	1205	4508
211	1210	4498
212	1215	4490
213	1220	4482
214	1225	4473
215	1229	4463
216	1234	4455
217	1239	4446
218	1244	4438
219	1249	4430
220	1255	4424
221	1260	4416
222	1264	4407
223	1269	4398
224	1274	4390
225	1279	4380
226	1284	4373
227	1289	4366
228	1294	4358
229	1300	4352
230	1305	4344
231	1310	4337
232	1315	4330
233	1320	4324
234	1326	4317
235	1331	4310
236	1336	4302
237	1341	4294
238	1346	4286
239	1350	4277
240	1355	4269
241	1360	4261
242	1365	4253
243	1370	4246
244	1375	4238
245	1380	4230
246	1385	4222
247	1390	4215
248	1394	4207
249	1400	4200
250	1405	4193
251	1410	4186
252	1415	4178
253	1420	4170
254	1424	4162
255	1429	4154
256	1434	4146
257	1438	4138
258	1443	4130
259	1448	4123
260	1453	4115
261	1458	4107
262	1462	4099
263	1467	4091
264	1472	4083
265	1477	4075
266	1481	4068
267	1486	4061
268	1492	4056
269	1497	4049
270	1502	4042
271	1507	4034
272	1512	4028
273	1517	4020
274	1522	4013
275	1527	4006
276	1532	3999
277	1536	3991
278	1541	3984
279	1546	3976
280	1550	3968
281	1555	3961
282	1560	3953
283	1565	3947
284	1570	3940
285	1575	3933
286	1580	3926
287	1585	3919
288	1590	3912
289	1595	3905
290	1599	3897
291	1604	3889
292	1609	3883
293	1614	3876
294	1619	3869
295	1624	3862
296	1629	3857
297	1634	3850
298	1639	3843
299	1644	3836
300	1648	3828
301	1653	3822
302	1658	3815
303	1663	3808
304	1668	3801
305	1673	3794
306	1678	3787
307	1682	3780
308	1687	3774
309	1692	3766
310	1697	3759
311	1701	3753
312	1706	3746
313	1711	3738
314	1717	3733
315	1721	3727
316	1726	3720
317	1731	3713
318	1736	3706
319	1741	3700
320	1746	3693
321	1751	3687
322	1755	3680
323	1760	3672
324	1765	3665
325	1769	3659
326	1775	3653
327	1780	3647
328	1784	3640
329	1789	3633
330	1794	3627
331	1799	3620
332	1804	3614
333	1809	3607
334	1814	3601
335	1819	3594
336	1823	3588
337	1828	3581
338	1833	3575
339	1838	3568
340	1843	3562
341	1847	3555
342	1853	3549
343	1858	3543
344	1863	3538
345	1868	3532
346	1873	3526
347	1878	3520
348	1886	3518
349	1892	3515
350	1897	3509
351	1903	3504
352	1908	3497
353	1914	3493
354	1919	3487
355	1924	3482
356	1930	3476
357	1935	3470
358	1940	3465
359	1945	3459
360	1950	3453
361	1955	3446
362	1960	3440
363	1965	3434
364	1970	3428
365	1975	3422
366	1980	3416
367	1985	3410
368	1990	3404
369	1995	3398
370	2000	3391
371	2005	3385
372	2010	3378
373	2014	3372
374	2020	3367
375	2025	3360
376	2030	3354
377	2034	3348
378	2039	3342
379	2044	3335
380	2049	3329
381	2054	3323
382	2058	3316
383	2064	3311
384	2069	3305
385	2073	3298
386	2078	3293
387	2083	3286
388	2088	3280
389	2094	3275
390	2099	3270
391	2104	3263
392	2109	3258
393	2114	3253
394	2119	3246
395	2124	3240
396	2129	3234
397	2134	3228
398	2139	3222
399	2144	3216
400	2148	3209
401	2153	3203
402	2158	3197
403	2163	3191
404	2168	3185
405	2173	3179
406	2178	3173
407	2183	3168
408	2188	3161
409	2193	3155
410	2198	3150
411	2202	3143
412	2207	3138
413	2213	3132
414	2217	3126
415	2222	3120
416	2228	3114
417	2232	3108
418	2237	3102
419	2242	3096
420	2247	3090
421	2252	3084
422	2257	3079
423	2263	3074
424	2268	3068
425	2273	3062
426	2278	3057
427	2283	3052
428	2289	3047
429	2294	3041
430	2299	3035
431	2304	3030
432	2309	3024
433	2314	3017
434	2318	3011
435	2323	3005
436	2328	2999
437	2333	2993
438	2339	2989
439	2344	2983
440	2350	2978
441	2355	2973
442	2360	2968
443	2366	2963
444	2372	2958
445	2377	2953
446	2383	2949
447	2389	2943
448	2394	2938
449	2400	2934
450	2406	2929
451	2412	2924
452	2417	2919
453	2423	2914
454	2430	2910
455	2435	2905
456	2453	2915
457	2459	2910
458	2465	2905
459	2470	2899
460	2475	2893
461	2480	2888
462	2485	2882
463	2490	2876
464	2495	2871
465	2501	2866
466	2506	2861
467	2511	2855
468	2517	2850
469	2522	2844
470	2527	2839
471	2533	2833
472	2538	2828
473	2543	2822
474	2548	2817
475	2553	2811
476	2559	2805
477	2564	2800
478	2569	2794
479	2574	2789
480	2580	2784
481	2585	2778
482	2590	2773
483	2596	2767
484	2601	2762
485	2606	2756
486	2611	2750
487	2615	2744
488	2620	2738
489	2625	2732
490	2630	2727
491	2635	2721
492	2640	2715
493	2645	2709
494	2651	2705
495	2656	2699
496	2661	2694
497	2666	2688
498	2671	2682
499	2677	2677
500	2681	2670
501	2686	2664
502	2690	2658
503	2695	2652
504	2700	2646
505	2705	2640
506	2709	2634
507	2714	2629
508	2719	2623
509	2725	2618
510	2730	2612
511	2735	2607
